LGA,Incidents Recorded,"Rate per 100,000 population"
banyule,"7,265",5506.3
brimbank,"15,483",7434.9
darebin,"11,898",7149.0
hobsons bay,"4,905",4995.5
hume,"15,894",6589.9
maribyrnong,"7,308",7694.1
melbourne,"26,881",14628.6
melton,"9,323",5404.6
moonee valley,"6,720",5100.5
moreland,"11,102",5881.5
nillumbik,"1,691",2592.8
whittlesea,"12,246",5177.2
wyndham,"13,874",4897.4
yarra,"11,433",11086.5
alpine,438,3376.2
bass coast,"1,787",4772.3
baw baw,"3,587",6535.6
benalla,935,6613.9
boroondara,"6,522",3563.5
east gippsland,"3,638",7622.8
greater shepparton,"6,384",9518.4
indigo,430,2546.6
knox,"8,877",5375.2
latrobe,"10,076",13272.7
manningham,"3,742",2902.4
mansfield,337,3557.1
maroondah,"5,921",4958.9
mitchell,"3,122",6552.4
moira,"1,835",6113.0
monash,"9,580",4674.6
murrindindi,598,4078.8
south gippsland,"1,360",4496.2
strathbogie,475,4321.3
towong,155,2540.2
wangaratta,"1,749",5990.3
wellington,"3,385",7560.9
whitehorse,"7,355",4069.5
wodonga,"2,828",6628.9
yarra ranges,"6,190",3869.8
bayside,"4,195",3900.8
cardinia,"5,449",4689.6
casey,"17,157",4705.7
frankston,"11,100",7743.9
glen eira,"6,105",3858.6
greater dandenong,"14,725",8746.0
kingston,"9,036",5401.3
mornington peninsula,"8,620",5104.8
port phillip,"9,984",8571.7
stonnington,"9,464",7978.8
ararat,894,7471.8
ballarat,"8,713",7824.1
buloke,254,4163.3
campaspe,"2,798",7426.7
central goldfields,866,6614.7
colac-otway,"1,280",5909.0
corangamite,549,3446.5
gannawarra,608,5846.2
glenelg,"1,165",5937.5
golden plains,472,1946.5
greater bendigo,"8,324",6937.8
greater geelong,"17,002",6419.1
hepburn,738,4567.7
hindmarsh,246,4399.1
horsham,"1,356",6773.9
loddon,366,4897.6
macedon ranges,"1,724",3382.3
mildura,"5,547",9916.5
moorabool,"1,641",4556.7
mount alexander,894,4469.8
moyne,506,2971.8
northern grampians,735,6445.7
pyrenees,350,4632.7
queenscliffe,101,3357.7
southern grampians,887,5497.7
surf coast,"1,043",2999.6
swan hill,"1,770",8619.9
warrnambool,"2,468",6945.7
west wimmera,142,3727.0
yarriambiack,319,4842.1
