,LGA,Mean House Price,total_score,"Rate per 100,000 population",Total,total_medical_person_per_100000
0,yarra,1370272.7272727273,12.175,11086.5,147.0,5575.461069
1,moonee valley,1038812.5,14.625,5100.5,142.0,574.744102
2,melton,531467.9966749792,11.35,5404.6,425.0,408.3898592
3,surf coast,957142.8571428572,5.5,2999.6,,638.739884
4,brimbank,655175.0,22.5,7434.9,450.0,1236.141323
5,port phillip,1766777.7777777778,7.575,8571.7,131.0,514.1342756
6,murrindindi,386666.6666666667,6.0,4078.8,,662.6402859
7,ballarat,431016.6666666667,17.5,7824.1,,2461.681808
8,warrnambool,343333.3333333333,5.0,6945.7,,2742.240835
9,darebin,1106555.5555555555,17.775,7149.0,293.0,422.0062001
10,hobsons bay,838607.1428571428,12.6,4995.5,269.0,627.1379704
11,colac otway,583812.5,,,,
12,ararat,163250.0,5.0,7471.8,,1653.2429
13,stonnington,2212562.5,7.9,7978.8,159.0,3378.453966
14,greater geelong,588964.2857142857,28.5,6419.1,,2043.478433
15,boroondara,2109269.230769231,24.05,3563.5,316.0,1334.885183
16,monash,1093800.0,26.075,4674.6,510.0,2690.464171
17,kingston,925761.9047619049,20.975,5401.3,605.0,794.830846
18,hume,559468.75,20.0,6589.9,835.0,458.1227662
19,strathbogie,345125.0,3.5,4321.3,,637.2545936
20,pyrenees,231000.0,4.0,4632.7,,1047.613584
21,cardinia,592846.1538461539,14.25,4689.6,348.0,323.935773
22,moorabool,466250.0,8.5,4556.7,,723.1102524
23,yarra ranges,629791.6666666666,30.775,3869.8,468.0,417.8968598
24,east gippsland,317625.0,14.0,7622.8,,1183.305566
25,mornington peninsula,901616.6666666666,18.625,5104.8,,907.5997154
26,golden plains,407125.0,6.0,1946.5,,292.7107998
27,wodonga,389500.0,4.5,6628.9,,1660.672476
28,indigo,357333.3333333333,7.5,2546.6,,764.3424482
29,knox,782708.3333333334,20.1,5375.2,238.0,1259.780764
30,maroondah,805863.6363636364,12.25,4958.9,389.0,1447.684216
31,bayside,1560600.0,13.525,3900.8,124.0,1296.846327
32,towong,285333.3333333333,4.0,2540.2,,1194.563846
33,banyule,975450.0,18.5,5506.3,391.0,4526.363476
34,benalla,290000.0,2.5,6613.9,,1224.245371
35,greater bendigo,366680.0,19.0,6937.8,,2182.773924
36,glen eira,1512500.0,16.075,3858.6,107.0,1182.258966
37,casey,609903.8461538461,30.6,4705.7,958.0,671.2316293
38,yarriambiack,98900.0,4.5,4842.1,,1256.383557
39,mitchell,448333.3333333333,6.5,6552.4,26.0,751.7099709
40,buloke,153583.33333333334,2.5,4163.3,,1591.044036
41,whitehorse,1203562.5,25.125,4069.5,487.0,2410.95144
42,mansfield,368250.0,2.0,3557.1,,1135.983963
43,latrobe,262166.6666666667,14.5,13272.7,,1821.542062
44,loddon,157125.0,2.5,4897.6,,800.1962103
45,maribyrnong,866875.0,9.05,7694.1,200.0,2059.373872
46,wellington,267392.8571428572,14.0,7560.9,,1328.97158
47,alpine,443428.5714285714,3.5,3376.2,,1343.116892
48,moreland,856964.2857142857,17.55,5881.5,406.0,703.260421
49,manningham,1175277.7777777778,16.725,2902.4,370.0,603.1488033
50,moira,306500.0,7.5,6113.0,,936.2730293
51,whittlesea,604400.0,17.925,5177.2,806.0,1183.940678
52,mount alexander,490333.3333333333,6.5,4469.8,,1363.123911
53,corangamite,219000.0,3.5,3446.5,,1151.475802
54,bass coast,469630.4347826087,5.5,4772.3,,1075.664506
55,central goldfields,256666.66666666663,3.0,6614.7,,1302.142479
56,melbourne,1551055.5555555555,5.8,14628.6,270.0,8438.406458
57,frankston,715388.8888888889,14.7,7743.9,631.0,2307.448271
58,glenelg,212750.0,6.5,5937.5,,1408.593949
59,hepburn,487750.0,6.5,4567.7,,1009.792435
60,gannawarra,195833.3333333333,4.5,5846.2,,1116.734867
61,southern grampians,183625.0,6.0,5497.7,,1946.07995
62,greater dandenong,658142.8571428572,13.35,8746.0,336.0,1639.433092
63,nillumbik,852650.0,12.95,2592.8,360.0,466.5773548
64,hindmarsh,103250.0,2.5,4399.1,,1525.14925
65,baw baw,360812.5,14.0,6535.6,,1284.244929
66,bairnsdale,235000.0,,,,
67,campaspe,245142.85714285716,8.0,7426.7,,1513.619919
68,west wimmera,171250.0,1.0,3727.0,,1855.337463
69,wyndham,577200.0,14.0,4897.4,503.0,735.9334487
70,south gippsland,343208.3333333333,8.0,4496.2,,1044.766027
71,macedon ranges,644136.3636363636,10.5,3382.3,,700.5750385
72,wangaratta,345750.0,9.5,5990.3,,
73,northern grampians,224666.66666666663,5.0,6445.7,,1533.257359
74,horsham,208750.0,2.5,6773.9,,
75,mildura,269357.14285714284,9.0,9916.5,,
76,greater shepparton,315833.3333333333,16.5,9518.4,,1943.73324
77,moyne,389500.0,5.5,2971.8,,510.793576
78,swan hill,186200.0,4.5,8619.9,,
79,blairgowrie,780000.0,,,,
80,queenscliffe,888750.0,1.5,3357.7,,1563.875852
81,point cook,620000.0,,,,
82,colac-otway,,6.0,5909.0,,1353.29954
83,unincorporated vic,,1.0,,,1461.725787
84,mornington,,,,1212.0,
85,horsham ,,,,,2103.144654
86,mildura ,,,,,1540.124291
87,swan hill ,,,,,1305.457874
88,wangaratta ,,,,,2650.668684
