LGA,Mean of Median House Price,Total School Score,Crime Rate,Total open space,Medical Person Rate
alpine,443428.5714,6.0867009,3376.2,,1343.116892
ararat,163250,5.506422869,7471.8,,1653.2429
ballarat,431016.6667,24.41854634,7824.1,,2461.681808
banyule,975450,25.87487118,5506.3,391,4526.363476
bass coast,469630.4348,6.75270469,4772.3,,1075.664506
baw baw,360812.5,18.36893418,6535.6,,1284.244929
bayside,1560600,18.46047202,3900.8,124,1296.846327
benalla,290000,3.534167307,6613.9,,1224.245371
boroondara,2109269.231,40.53744795,3563.5,316,1334.885183
brimbank,655175,27.36991646,7434.9,450,1236.141323
buloke,153583.3333,5.832982721,4163.3,,1591.044036
campaspe,245142.8571,10.77619434,7426.7,,1513.619919
cardinia,592846.1538,18.52460476,4689.6,348,323.935773
casey,609903.8462,42.53051877,4705.7,958,671.2316293
central goldfields,256666.6667,4.038111039,6614.7,,1302.142479
colac-otway,583812.5,6.964828851,5909,,1353.29954
corangamite,219000,6.590646479,3446.5,,1151.475802
darebin,1106555.556,22.8232802,7149,293,422.0062001
east gippsland,315391.89,17.97888105,7622.8,,1183.305566
frankston,715388.8889,20.57382671,7743.9,631,2307.448271
gannawarra,195833.3333,6.055898932,5846.2,,1116.734867
glen eira,1512500,24.74324701,3858.6,107,1182.258966
glenelg,212750,8.439643439,5937.5,,1408.593949
golden plains,407125,6.026472114,1946.5,,292.7107998
greater bendigo,366680,22.21201001,6937.8,,2182.773924
greater dandenong,658142.8571,20.75630085,8746,336,1639.433092
greater geelong,588964.2857,40.27378708,6419.1,,2043.478433
greater shepparton,315833.3333,18.5342773,9518.4,,1943.73324
hepburn,487750,6.953478641,4567.7,,1009.792435
hindmarsh,103250,4.428060936,4399.1,,1525.14925
hobsons bay,838607.1429,15.09274047,4995.5,269,627.1379704
horsham,208750,4.185795606,6773.9,,2103.144654
hume,559468.75,28.56803476,6589.9,835,458.1227662
indigo,357333.3333,8.342375511,2546.6,,764.3424482
kingston,925761.9048,28.20802616,5401.3,605,794.830846
knox,782708.3333,25.77094488,5375.2,238,1259.780764
latrobe,262166.6667,16.4463254,13272.7,,1821.542062
loddon,157125,4.934616879,4897.6,,800.1962103
macedon ranges,644136.3636,13.62376511,3382.3,,700.5750385
manningham,1175277.778,21.65609803,2902.4,370,603.1488033
mansfield,368250,2.479950755,3557.1,,1135.983963
maribyrnong,866875,11.01570416,7694.1,200,2059.373872
maroondah,805863.6364,18.48008977,4958.9,389,1447.684216
melbourne,1551055.556,12.1691959,14628.6,270,8438.406458
melton,531467.9967,16.54491547,5404.6,425,408.3898592
mildura,269357.1429,11.66841284,9916.5,,1540.124291
mitchell,448333.3333,8.459766991,6552.4,26,751.7099709
moira,306500,10.72622645,6113,,936.2730293
monash,1093800,37.33967753,4674.6,510,2690.464171
moonee valley,1038812.5,21.81675766,5100.5,142,574.744102
moorabool,466250,9.714537515,4556.7,,723.1102524
moreland,856964.2857,21.51471738,5881.5,406,703.260421
mornington peninsula,899232.026,25.49376102,5104.8,1212,907.5997154
mount alexander,490333.3333,7.137576626,4469.8,,1363.123911
moyne,389500,6.408214364,2971.8,,510.793576
murrindindi,386666.6667,7.064583153,4078.8,,662.6402859
nillumbik,852650,16.59554845,2592.8,360,466.5773548
northern grampians,224666.6667,5.658890793,6445.7,,1533.257359
port phillip,1766777.778,11.50841096,8571.7,131,514.1342756
pyrenees,231000,4.453478641,4632.7,,1047.613584
queenscliffe,888750,1.5,3357.7,,1563.875852
south gippsland,343208.3333,10.91863652,4496.2,,1044.766027
southern grampians,183625,8.297318941,5497.7,,1946.07995
stonnington,2212562.5,16.84553513,7978.8,159,3378.453966
strathbogie,345125,3.953478641,4321.3,,637.2545936
surf coast,957142.8571,6.473529268,2999.6,,638.739884
swan hill,186200,6.665746361,8619.9,,1305.457874
towong,285333.3333,5.226232576,2540.2,,1194.563846
wangaratta,345750,11.18631956,5990.3,,2650.668684
warrnambool,343333.3333,7.432488819,6945.7,,2742.240835
wellington,267392.8571,16.69969606,7560.9,,1328.97158
west wimmera,171250,2.922608455,3727,,1855.337463
whitehorse,1203562.5,34.86516401,4069.5,487,2410.95144
whittlesea,604400,24.07063454,5177.2,806,1183.940678
wodonga,389500,6.055255116,6628.9,,1660.672476
wyndham,577978.18,22.95874921,4897.4,503,735.9334487
yarra,1370272.727,16.58877904,11086.5,147,5575.461069
yarra ranges,629791.6667,40.83073789,3869.8,468,417.8968598
yarriambiack,98900,5.744280367,4842.1,,1256.383557
