School_Name,LGA_Name,weighted_score
ballarat clarendon college,Ballarat (C),0.978936176107066
bialik college,Boroondara (C),0.978936176107066
mount scopus memorial college,Whitehorse (C),0.9690449432667166
mallacoota p-12 college,East Gippsland (S),0.9690449432667166
huntingtower school,Monash (C),0.955586774374756
macrobertson girls high school,Port Phillip (C),0.955586774374756
korowa anglican girls school,Stonnington (C),0.955586774374756
ruyton girls school,Boroondara (C),0.9377679468360076
haileybury girls college,Greater Dandenong (C),0.9377679468360076
beth rivkah ladies college,Glen Eira (C),0.9377679468360076
camberwell girls grammar school,Boroondara (C),0.9377679468360076
melbourne high school,Stonnington (C),0.9377679468360076
haileybury college,Greater Dandenong (C),0.9377679468360076
strathcona baptist girls grammar school,Boroondara (C),0.9377679468360076
st kevins college,Stonnington (C),0.9377679468360076
loreto mandeville hall,Stonnington (C),0.9377679468360076
trinity grammar school,Boroondara (C),0.9377679468360076
shelford girls grammar,Glen Eira (C),0.9377679468360076
firbank grammar school,Bayside (C),0.9377679468360076
kilvington grammar school,Glen Eira (C),0.9377679468360076
the king david school,Stonnington (C),0.9377679468360076
yeshivah college,Glen Eira (C),0.9148101664571066
scotch college,Boroondara (C),0.9148101664571066
leibler yavneh college,Glen Eira (C),0.9148101664571066
camberwell grammar school,Boroondara (C),0.9148101664571066
methodist ladies college,Boroondara (C),0.9148101664571066
melbourne grammar school,Melbourne (C),0.9148101664571066
genazzano f.c.j. college,Boroondara (C),0.9148101664571066
sacre coeur,Stonnington (C),0.9148101664571066
caulfield grammar school caulfield,Glen Eira (C),0.9148101664571066
penleigh and essendon grammar school,Moonee Valley (C),0.9148101664571066
mentone girls grammar school,Kingston (C),0.9148101664571066
mentone grammar school,Kingston (C),0.9148101664571066
nossal high school,Casey (C),0.9148101664571066
lauriston girls school,Stonnington (C),0.9148101664571066
st catherines school,Stonnington (C),0.9148101664571066
presbyterian ladies college,Whitehorse (C),0.9148101664571066
star of the sea college,Bayside (C),0.9148101664571066
goroke p-12 college,West Wimmera (S),0.8860270171706128
melbourne girls grammar,Melbourne (C),0.8860270171706128
toorak college,Mornington Peninsula (S),0.8860270171706128
eltham college of education,Nillumbik (S),0.8860270171706128
lowther hall anglican grammar school,Moonee Valley (C),0.8860270171706128
yarra valley grammar school,Maroondah (C),0.8860270171706128
ivanhoe girls grammar school,Banyule (C),0.8860270171706128
balwyn high school,Boroondara (C),0.8860270171706128
fintona girls school,Boroondara (C),0.8860270171706128
east loddon p-12 college,Loddon (S),0.8860270171706128
st margarets school,Casey (C),0.8860270171706128
ivanhoe grammar school,Banyule (C),0.8860270171706128
peninsula grammar,Mornington Peninsula (S),0.8860270171706128
john monash science school,Monash (C),0.8860270171706128
xavier college,Boroondara (C),0.8860270171706128
westbourne grammar school,Wyndham (C),0.8860270171706128
suzanne cory high school,Wyndham (C),0.8860270171706128
brighton grammar school,Bayside (C),0.8509110704998892
goulburn valley grammar school,Greater Shepparton (C),0.8509110704998892
victorian college of the arts secondary school,Melbourne (C),0.8509110704998892
melbourne girls college,Yarra (C),0.8509110704998892
the geelong college,Greater Geelong (C),0.8509110704998892
mckinnon secondary college,Glen Eira (C),0.8509110704998892
waverley christian college,Knox (C),0.8509110704998892
wesley college st kilda rd,Melbourne (C),0.8509110704998892
box hill high school,Whitehorse (C),0.8509110704998892
st leonards college,Bayside (C),0.8509110704998892
our lady of sion college,Whitehorse (C),0.8509110704998892
glen waverley secondary college,Monash (C),0.8509110704998892
siena college,Boroondara (C),0.8509110704998892
carey baptist grammar school,Boroondara (C),0.8509110704998892
donvale christian college,Manningham (C),0.8509110704998892
woodleigh school,Frankston (C),0.8509110704998892
our lady of mercy college,Banyule (C),0.8509110704998892
ave maria college,Moonee Valley (C),0.8509110704998892
koonung secondary college,Whitehorse (C),0.8509110704998892
nunawading christian college,Whitehorse (C),0.8509110704998892
university high school,Melbourne (C),0.8092214325615634
alphington grammar school,Yarra (C),0.8092214325615634
ballarat grammar school,Ballarat (C),0.8092214325615634
st michaels grammar school,Port Phillip (C),0.8092214325615634
st pauls anglican grammar school,Baw Baw (S),0.8092214325615634
kardinia international college,Greater Geelong (C),0.8092214325615634
kingswood college,Whitehorse (C),0.8092214325615634
canterbury girls secondary college,Boroondara (C),0.8092214325615634
kew high school,Boroondara (C),0.8092214325615634
sacred heart girls college,Monash (C),0.8092214325615634
frankston high school,Frankston (C),0.8092214325615634
gippsland grammar,Wellington (S),0.8092214325615634
girton grammar school,Greater Bendigo (C),0.8092214325615634
sacred heart college geelong,Greater Geelong (C),0.8092214325615634
mazenod college,Monash (C),0.8092214325615634
st aloysius college,Melbourne (C),0.8092214325615634
st columbas college,Moonee Valley (C),0.8092214325615634
braemar college,Macedon Ranges (S),0.8092214325615634
oxley christian college,Yarra Ranges (S),0.8092214325615634
vermont secondary college,Whitehorse (C),0.8092214325615634
east doncaster secondary college,Manningham (C),0.8092214325615634
our lady of sacred heart college,Glen Eira (C),0.8092214325615634
princes hill secondary college,Yarra (C),0.8092214325615634
sirius college,Hume (C),0.8092214325615634
camperdown college,Corangamite (S),0.8092214325615634
avila college,Monash (C),0.8092214325615634
viewbank college,Banyule (C),0.8092214325615634
mount waverley secondary college,Monash (C),0.8092214325615634
narre warren south p-12 college,Casey (C),0.8092214325615634
luther college,Maroondah (C),0.8092214325615634
the knox school,Knox (C),0.8092214325615634
kings college,Warrnambool (C),0.8092214325615634
southern cross grammar,Melton (C),0.8092214325615634
casterton secondary college,Glenelg (S),0.8092214325615634
boort district p-12 school,Loddon (S),0.761058873930649
edinburgh college,Yarra Ranges (S),0.761058873930649
st josephs college geelong,Greater Geelong (C),0.761058873930649
mount st joseph girls college,Hobsons Bay (C),0.761058873930649
st andrews christian college,Knox (C),0.761058873930649
santa maria college,Darebin (C),0.761058873930649
emmaus college,Whitehorse (C),0.761058873930649
highvale secondary college,Monash (C),0.761058873930649
whitefriars college,Manningham (C),0.761058873930649
bacchus marsh grammar,Moorabool (S),0.761058873930649
marian college myrtleford,Alpine (S),0.761058873930649
albert park college,Port Phillip (C),0.761058873930649
werribee secondary college,Wyndham (C),0.761058873930649
williamstown high school,Hobsons Bay (C),0.761058873930649
parade college,Banyule (C),0.761058873930649
tintern grammar,Maroondah (C),0.761058873930649
darul ulum college of victoria,Moreland (C),0.761058873930649
the hamilton and alexandra college,Southern Grampians (S),0.761058873930649
billanook college,Yarra Ranges (S),0.761058873930649
salesian college chadstone,Monash (C),0.761058873930649
balcombe grammar school,Mornington Peninsula (S),0.761058873930649
de la salle college,Stonnington (C),0.761058873930649
kilbreda college,Kingston (C),0.761058873930649
marcellin college,Manningham (C),0.761058873930649
catholic ladies college,Nillumbik (S),0.761058873930649
loreto college,Ballarat (C),0.761058873930649
alice miller school,Macedon Ranges (S),0.761058873930649
academy of mary immaculate,Yarra (C),0.761058873930649
dimboola memorial secondary college,Hindmarsh (S),0.761058873930649
strathmore secondary college,Moonee Valley (C),0.761058873930649
killester college,Greater Dandenong (C),0.761058873930649
thornbury high school,Darebin (C),0.761058873930649
birchip p-12 school,Buloke (S),0.761058873930649
mater christi college,Yarra Ranges (S),0.761058873930649
loyola college,Banyule (C),0.761058873930649
myrtleford p-12 college,Alpine (S),0.761058873930649
wedderburn college,Loddon (S),0.761058873930649
lighthouse christian college,Greater Dandenong (C),0.761058873930649
dromana secondary college,Mornington Peninsula (S),0.761058873930649
tyrrell college,Buloke (S),0.761058873930649
heatherton christian college,Kingston (C),0.7069150813488889
elwood college,Port Phillip (C),0.7069150813488889
lakes entrance secondary college,East Gippsland (S),0.7069150813488889
covenant college,Greater Geelong (C),0.7069150813488889
newhaven college,Bass Coast (S),0.7069150813488889
presentation college,Stonnington (C),0.7069150813488889
casey grammar school,Casey (C),0.7069150813488889
auburn high school,Boroondara (C),0.7069150813488889
f.c.j. college,Benalla (RC),0.7069150813488889
heathdale christian college,Wyndham (C),0.7069150813488889
northcote high school,Darebin (C),0.7069150813488889
buckley park college,Moonee Valley (C),0.7069150813488889
mentone girls secondary college,Kingston (C),0.7069150813488889
corryong college,Towong (S),0.7069150813488889
st bernards college,Moonee Valley (C),0.7069150813488889
st josephs college mildura,Mildura (RC),0.7069150813488889
braybrook college,Maribyrnong (C),0.7069150813488889
clonard college,Greater Geelong (C),0.7069150813488889
ringwood secondary college,Maroondah (C),0.7069150813488889
st bedes college,Kingston (C),0.7069150813488889
geelong grammar school,Greater Geelong (C),0.7069150813488889
sandringham college,Bayside (C),0.7069150813488889
simonds catholic college,Melbourne (C),0.7069150813488889
glen eira college,Glen Eira (C),0.7069150813488889
lighthouse christian college cranbourne,Casey (C),0.7069150813488889
aquinas college,Maroondah (C),0.7069150813488889
camberwell high school,Boroondara (C),0.7069150813488889
maranatha christian school,Casey (C),0.7069150813488889
christian college geelong waurun ponds,Greater Geelong (C),0.7069150813488889
hume anglican grammar,Hume (C),0.7069150813488889
mackillop catholic regional college,Wyndham (C),0.7069150813488889
plenty valley christian college,Nillumbik (S),0.7069150813488889
ilim college,Hume (C),0.7069150813488889
sacred heart college kyneton,Macedon Ranges (S),0.7069150813488889
kambrya college,Casey (C),0.7069150813488889
marymede catholic college,Whittlesea (C),0.7069150813488889
st monicas college,Whittlesea (C),0.7069150813488889
beaconhills college,Cardinia (S),0.7069150813488889
eltham high school,Nillumbik (S),0.7069150813488889
padua college,Mornington Peninsula (S),0.7069150813488889
parkdale secondary college,Kingston (C),0.7069150813488889
st josephs college ferntree gully,Knox (C),0.7069150813488889
northside christian college,Whittlesea (C),0.7069150813488889
ashwood high school,Monash (C),0.7069150813488889
sunbury downs secondary college,Hume (C),0.7069150813488889
mercy college,Moreland (C),0.7069150813488889
marist sion college,Baw Baw (S),0.7069150813488889
oakleigh grammar,Monash (C),0.7069150813488889
good shepherd college,Southern Grampians (S),0.7069150813488889
overnewton anglican college,Brimbank (C),0.7069150813488889
cranbourne east secondary college,Casey (C),0.7069150813488889
charlton college,Buloke (S),0.7069150813488889
ballarat christian college,Ballarat (C),0.647684567570735
cohuna secondary college,Gannawarra (S),0.647684567570735
catherine mcauley college,Greater Bendigo (C),0.647684567570735
catholic college sale,Wellington (S),0.647684567570735
foster secondary college,South Gippsland (S),0.647684567570735
cheltenham secondary college,Kingston (C),0.647684567570735
st francis xavier college,Cardinia (S),0.647684567570735
templestowe college,Manningham (C),0.647684567570735
blackburn high school,Whitehorse (C),0.647684567570735
nazareth college,Greater Dandenong (C),0.647684567570735
brighton secondary college,Bayside (C),0.647684567570735
st patricks college,Ballarat (C),0.647684567570735
belgrave heights christian school,Yarra Ranges (S),0.647684567570735
marian college sunshine west,Brimbank (C),0.647684567570735
brentwood secondary college,Monash (C),0.647684567570735
norwood secondary college,Maroondah (C),0.647684567570735
