LGA,Mean House Price
Yarra,1370272.7272727273
Moonee Valley,1038812.5
Melton,531467.9966749792
Surf Coast,957142.8571428572
Brimbank,655175.0
Port Phillip,1766777.7777777778
Murrindindi,386666.6666666667
Ballarat,431016.6666666667
Warrnambool,343333.3333333333
Darebin,1106555.5555555555
Hobsons Bay,838607.1428571428
Colac Otway,583812.5
Ararat,163250.0
Stonnington,2212562.5
Greater Geelong,588964.2857142857
Boroondara,2109269.230769231
Monash,1093800.0
Kingston,925761.9047619047
Hume,559468.75
Strathbogie,345125.0
Pyrenees,231000.0
Cardinia,592846.1538461539
Moorabool,466250.0
Yarra Ranges,629791.6666666666
East Gippsland,317625.0
Mornington Peninsula,901616.6666666666
Golden Plains,407125.0
Wodonga,389500.0
Indigo,357333.3333333333
Knox,782708.3333333334
Maroondah,805863.6363636364
Bayside,1560600.0
Towong,285333.3333333333
Banyule,975450.0
Benalla,290000.0
Greater Bendigo,366680.0
Glen Eira,1512500.0
Casey,609903.8461538461
Yarriambiack,98900.0
Mitchell,448333.3333333333
Buloke,153583.33333333334
Whitehorse,1203562.5
Mansfield,368250.0
Latrobe,262166.6666666667
Loddon,157125.0
Maribyrnong,866875.0
Wellington,267392.85714285716
Alpine,443428.5714285714
Moreland,856964.2857142857
Manningham,1175277.7777777778
Moira,306500.0
Whittlesea,604400.0
Mount Alexander,490333.3333333333
Corangamite,219000.0
Bass Coast,469630.4347826087
Central Goldfields,256666.66666666666
Melbourne,1551055.5555555555
Frankston,715388.8888888889
Glenelg,212750.0
Hepburn,487750.0
Gannawarra,195833.33333333334
Southern Grampians,183625.0
Greater Dandenong,658142.8571428572
Nillumbik,852650.0
Hindmarsh,103250.0
Baw Baw,360812.5
Bairnsdale,235000.0
Campaspe,245142.85714285713
West Wimmera,171250.0
Wyndham,577200.0
South Gippsland,343208.3333333333
Macedon Ranges,644136.3636363636
Wangaratta,345750.0
Northern Grampians,224666.66666666666
Horsham,208750.0
Mildura,269357.14285714284
Greater Shepparton,315833.3333333333
Moyne,389500.0
Swan Hill,186200.0
Blairgowrie,780000.0
Queenscliffe,888750.0
Point Cook,620000.0
