School_Name,School_Type,LGA_Name
Alberton Primary School,Primary,Wellington (S)
Allansford and District Primary School,Primary,Warrnambool (C)
Avoca Primary School,Primary,Pyrenees (S)
Avenel Primary School,Primary,Strathbogie (S)
Warrandyte Primary School,Primary,Manningham (C)
Belmont Primary School,Primary,Greater Geelong (C)
Bacchus Marsh Primary School,Primary,Moorabool (S)
Ballarat Primary School (Dana Street),Primary,Ballarat (C)
Wodonga Primary School,Primary,Wodonga (C)
Berwick Primary School,Primary,Casey (C)
Beaufort Primary School,Primary,Pyrenees (S)
Cheltenham Primary School,Primary,Bayside (C)
Cudgee Primary School,Primary,Moyne (S)
Newport Lakes Primary School,Primary,Hobsons Bay (C)
Cavendish Primary School,Primary,Southern Grampians (S)
Colac Primary School,Primary,Colac-Otway (S)
Castlemaine Primary School,Primary,Mount Alexander (S)
Campbells Creek Primary School,Primary,Mount Alexander (S)
Creswick Primary School,Primary,Hepburn (S)
California Gully Primary School,Primary,Greater Bendigo (C)
St Andrews Primary School,Primary,Nillumbik (S)
Warrnambool West Primary School,Primary,Warrnambool (C)
Dromana Primary School,Primary,Mornington Peninsula (S)
Doncaster Primary School,Primary,Manningham (C)
Echuca Primary School,Primary,Campaspe (S)
Eltham Primary School,Primary,Nillumbik (S)
Eaglehawk Primary School,Primary,Greater Bendigo (C)
Elphinstone Primary School,Primary,Mount Alexander (S)
Hallam Primary School,Primary,Casey (C)
Flemington Primary School,Primary,Moonee Valley (C)
Footscray Primary School,Primary,Maribyrnong (C)
Gisborne Primary School,Primary,Macedon Ranges (S)
Sandringham Primary School,Primary,Bayside (C)
Wandiligong Primary School,Primary,Alpine (S)
Grovedale Primary School,Primary,Greater Geelong (C)
Hawthorn West Primary School,Primary,Boroondara (C)
Heidelberg Primary School,Primary,Banyule (C)
Hamilton (Gray Street) Primary School,Primary,Southern Grampians (S)
Heathcote Primary School,Primary,Greater Bendigo (C)
Highton Primary School,Primary,Greater Geelong (C)
Huntly Primary School,Primary,Greater Bendigo (C)
Bellbrae Primary School,Primary,Surf Coast (S)
Chiltern Primary School,Primary,Indigo (S)
Kyneton Primary School,Primary,Macedon Ranges (S)
Romsey Primary School,Primary,Macedon Ranges (S)
Shelford Primary School,Primary,Golden Plains (S)
Lockwood South Primary School,Primary,Greater Bendigo (C)
Marong Primary School,Primary,Greater Bendigo (C)
Mount Macedon Primary School,Primary,Macedon Ranges (S)
Mount Clear Primary School,Primary,Ballarat (C)
Melton Primary School,Primary,Melton (C)
Fitzroy Primary School,Primary,Yarra (C)
Newstead Primary School,Primary,Mount Alexander (S)
Newlyn Primary School,Primary,Hepburn (S)
Burwood East Primary School,Primary,Whitehorse (C)
New Gisborne Primary School,Primary,Macedon Ranges (S)
Beeac Primary School,Primary,Colac-Otway (S)
Essendon Primary School,Primary,Moonee Valley (C)
Coburg Primary School,Primary,Moreland (C)
Penshurst Primary School,Primary,Southern Grampians (S)
