LGA,HP,SC,CR,OS,MP
alpine,0.1630007493627767,0.11178754345542485,0.11273369552361201,0.0,0.12895228796604882
ararat,0.03044478482255327,0.09764494793395953,0.4356770566388847,0.0,0.1670246664359965
ballarat,0.1571285229784793,0.5585731554717068,0.46345636763627474,0.0,0.2662720409909458
banyule,0.41470669986338876,0.5940668534228235,0.2806948376057593,0.3077571669477234,0.5197410821429503
bass coast,0.17539717660695595,0.12801945594313527,0.22281798755726573,0.0,0.09611870355257218
baw baw,0.12391405912722586,0.4111313891632767,0.36185647487403505,0.0,0.12172491715939027
bayside,0.6915484378418977,0.4133623587621044,0.15409908453647264,0.08263069139966273,0.1232719179962451
benalla,0.09041178523061275,0.0495769336576682,0.3680305312211699,0.0,0.11435911802845902
boroondara,0.9511306705777295,0.9514246741267804,0.12750254295424257,0.2445193929173693,0.1279417286049569
brimbank,0.26318061658377345,0.6305042498978863,0.43276744387759114,0.357504215851602,0.11581951533510584
buloke,0.025871364657318756,0.10560389804693662,0.17479754930177177,0.0,0.15938887121236986
campaspe,0.06918931338375922,0.22608035720919062,0.4321208632639705,0.0,0.14988395963099255
cardinia,0.2336920647454359,0.41492540846078113,0.21629698551501725,0.27150084317032036,0.003833309579712424
casey,0.24176227103428294,1.0,0.21756649135395556,0.7858347386172007,0.04646881560311619
central goldfields,0.07464137093788625,0.061859101836552285,0.36809361225664516,0.0,0.12392209598253759
colac-otway,0.2294181308510701,0.1331893676907561,0.3124482538380867,0.0,0.13020235283800968
corangamite,0.05682080275351433,0.12406975664958184,0.118276941515995,0.0,0.10542561841670453
darebin,0.47673436795136404,0.5196931659462904,0.41022385882464263,0.2251264755480607,0.01587284938270958
east gippsland,0.10242500399188614,0.40162497438489,0.44758360208482817,0.0,0.10933317466918471
frankston,0.29166855583613754,0.4648692554174108,0.4571324938298862,0.5101180438448567,0.24733768062790698
gannawarra,0.04586036479333857,0.11103683474095152,0.3074963925532837,0.0,0.10116067451777214
glen eira,0.6687917299947366,0.5664867934108258,0.150771559915156,0.06829679595278246,0.10920468963317106
glenelg,0.05386385007067116,0.1691336996712313,0.31469551572689064,0.0,0.1369905280068594
golden plains,0.14582507850709372,0.1103196413229264,0.0,0.0,0.0
greater bendigo,0.12669004630587902,0.5047952263558475,0.3935704654591905,0.0,0.232032131263993
greater dandenong,0.2645847466660359,0.4693165338206617,0.5361493758920053,0.2613827993254637,0.16532931608417012
