ranking,School,Postcode,State Overall Score,Better Eduction Percentile

1,"Beverley Hills Primary School,Doncaster East,VIC,3109",3109,100,1%

2,"Serpell Primary School,Templestowe,VIC,3106",3106,100,1%

3,"Oakleigh South Primary School,Oakleigh South,VIC,3167",3167,100,1%

4,"Glendal Primary School,Glen Waverley,VIC,3150",3150,100,1%

5,Burwood East Primary School,3151,100,1%

6,"Doncaster Gardens Primary School,Doncaster East,VIC,3109",3109,100,1%

7,"Balwyn Primary School,Balwyn,VIC,3103",3103,100,2%

8,"Pinewood Primary School,Mount Waverley,VIC,3149",3149,100,2%

9,Canterbury Primary School,3126,100,2%

10,"Camberwell Primary School,Camberwell,VIC,3124",3124,99,2%

11,Virtual School Victoria,3071,99,2%

12,"Birralee Primary School,Doncaster,VIC,3108",3108,99,2%

13,"Mount View Primary School,Glen Waverley,VIC,3150",3150,99,2%

14,"Camelot Rise Primary School,Glen Waverley,VIC,3150",3150,99,2%

15,Wheelers Hill Primary School,3150,99,3%

16,Preston West Primary School,3072,99,3%

17,"Southmoor Primary School,Moorabbin,VIC,3189",3189,99,3%

18,"Hampton Primary School,Hampton,VIC,3188",3188,99,3%

19,South Yarra Primary School,3141,99,3%

20,Vermont Primary School,3133,99,3%

21,"Deepdene Primary School,Balwyn,VIC,3103",3103,99,4%

22,"Brandon Park Primary School,Wheelers Hill,VIC,3150",3150,99,4%

23,Wattle Park Primary School,3125,99,4%

24,"Templeton Primary School,Wantirna,VIC,3152",3152,99,4%

25,Kew East Primary School,3102,99,4%

26,Balwyn North Primary School,3104,99,4%

27,"Glen Waverley Primary School,Glen Waverley,VIC,3150",3150,99,4%

28,"Malvern Primary School,Malvern East,VIC,3145",3145,98,4%

29,"Hartwell Primary School,Camberwell,VIC,3124",3124,98,4%

30,Kerrimuir Primary School,3129,98,5%

31,"Donburn Primary School,Doncaster East,VIC,3109",3109,98,5%

32,"Mount Waverley Primary School,Mount Waverley,VIC,3149",3149,98,5%

33,Laburnum Primary School,3130,98,5%

34,"Mont Albert Primary School,Mont Albert,VIC,3127",3127,98,5%

35,Carnegie Primary School,3163,98,5%

