School_Name,LGA_Name,weighted_score
beverley hills primary school,Manningham (C),1.0
serpell primary school,Manningham (C),1.0
oakleigh south primary school,Monash (C),1.0
glendal primary school,Monash (C),1.0
burwood east primary school,Whitehorse (C),1.0
doncaster gardens primary school,Manningham (C),1.0
balwyn primary school,Boroondara (C),1.0
pinewood primary school,Monash (C),1.0
canterbury primary school,Boroondara (C),1.0
camberwell primary school,Boroondara (C),0.975
birralee primary school,Manningham (C),0.975
mount view primary school,Monash (C),0.975
camelot rise primary school,Monash (C),0.975
wheelers hill primary school,Monash (C),0.975
preston west primary school,Darebin (C),0.975
southmoor primary school,Kingston (C),0.975
hampton primary school,Bayside (C),0.975
south yarra primary school,Melbourne (C),0.975
vermont primary school,Whitehorse (C),0.975
deepdene primary school,Boroondara (C),0.975
brandon park primary school,Monash (C),0.975
wattle park primary school,Whitehorse (C),0.975
templeton primary school,Knox (C),0.975
kew east primary school,Boroondara (C),0.975
balwyn north primary school,Boroondara (C),0.975
glen waverley primary school,Monash (C),0.975
malvern primary school,Stonnington (C),0.95
hartwell primary school,Boroondara (C),0.95
kerrimuir primary school,Whitehorse (C),0.95
donburn primary school,Manningham (C),0.95
mount waverley primary school,Monash (C),0.95
laburnum primary school,Whitehorse (C),0.95
mont albert primary school,Whitehorse (C),0.95
carnegie primary school,Glen Eira (C),0.95
highvale primary school,Monash (C),0.95
clifton hill primary school,Yarra (C),0.95
bentleigh west primary school,Glen Eira (C),0.95
blackburn lake primary school,Whitehorse (C),0.95
merri creek primary school,Yarra (C),0.95
ivanhoe primary school,Banyule (C),0.95
banyule primary school,Banyule (C),0.95
eltham east primary school,Nillumbik (S),0.95
glenferrie primary school,Boroondara (C),0.95
malvern central school,Stonnington (C),0.95
orchard grove primary school,Whitehorse (C),0.95
north melbourne primary school,Melbourne (C),0.95
carlton gardens primary school,Melbourne (C),0.95
burwood heights primary school,Whitehorse (C),0.95
hawthorn west primary school,Boroondara (C),0.95
newport lakes primary school,Hobsons Bay (C),0.95
greythorn primary school,Boroondara (C),0.95
yarraville west primary school,Maribyrnong (C),0.95
murrumbeena primary school,Glen Eira (C),0.95
livingstone primary school,Whitehorse (C),0.925
knox gardens primary school,Knox (C),0.925
glen iris primary school,Boroondara (C),0.925
ashburton primary school,Boroondara (C),0.925
alphington primary school,Yarra (C),0.925
rangeview primary school,Whitehorse (C),0.925
westgarth primary school,Darebin (C),0.925
templestowe park primary school,Manningham (C),0.925
gardenvale primary school,Bayside (C),0.925
doreen primary school,Nillumbik (S),0.925
heidelberg primary school,Banyule (C),0.925
richmond primary school,Yarra (C),0.925
toorak primary school,Stonnington (C),0.925
jells park primary school,Monash (C),0.925
essex heights primary school,Monash (C),0.925
syndal south primary school,Monash (C),0.925
kensington primary school,Melbourne (C),0.925
auburn south primary school,Boroondara (C),0.925
thomastown east primary school,Whittlesea (C),0.925
st kilda park primary school,Port Phillip (C),0.925
black rock primary school,Bayside (C),0.925
oakleigh primary school,Monash (C),0.925
valkstone primary school,Glen Eira (C),0.925
templestowe heights primary school,Manningham (C),0.9
armadale primary school,Stonnington (C),0.9
spensley street primary school,Yarra (C),0.9
caulfield primary school,Glen Eira (C),0.9
derinya primary school,Frankston (C),0.9
ormond primary school,Glen Eira (C),0.9
milgate primary school,Manningham (C),0.9
surrey hills primary school,Whitehorse (C),0.9
mckinnon primary school,Glen Eira (C),0.9
hughesdale primary school,Monash (C),0.9
camberwell south primary school,Boroondara (C),0.9
strathmore north primary school,Moonee Valley (C),0.9
park orchards primary school,Manningham (C),0.9
northcote primary school,Darebin (C),0.9
mitcham primary school,Whitehorse (C),0.9
brentwood park primary school,Casey (C),0.9
parkdale primary school,Kingston (C),0.9
caulfield south primary school,Glen Eira (C),0.9
boroondara park primary school,Boroondara (C),0.9
wales street primary school,Darebin (C),0.9
heathmont east primary school,Maroondah (C),0.9
fairfield primary school,Darebin (C),0.9
research primary school,Nillumbik (S),0.9
parktone primary school,Kingston (C),0.875
