LGA,total_score
alpine,6.0867009
ararat,5.506422869
ballarat,24.41854634
banyule,25.87487118
bass coast,6.75270469
baw baw,18.36893418
bayside,18.46047202
benalla,3.534167307
boroondara,40.53744795
brimbank,27.36991646
buloke,5.832982721
campaspe,10.77619434
cardinia,18.52460476
casey,42.53051877
central goldfields,4.038111039
colac-otway,6.964828851
corangamite,6.590646479
darebin,22.8232802
east gippsland,17.97888105
frankston,20.57382671
gannawarra,6.055898932
glen eira,24.74324701
glenelg,8.439643439
golden plains,6.026472114
greater bendigo,22.21201001
greater dandenong,20.75630085
greater geelong,40.27378708
greater shepparton,18.5342773
hepburn,6.953478641
hindmarsh,4.428060936
hobsons bay,15.09274047
horsham,4.185795606
hume,28.56803476
indigo,8.342375511
kingston,28.20802616
knox,25.77094488
latrobe,16.4463254
loddon,4.934616879
macedon ranges,13.62376511
manningham,21.65609803
mansfield,2.479950755
maribyrnong,11.01570416
maroondah,18.48008977
melbourne,12.1691959
melton,16.54491547
mildura,11.66841284
mitchell,8.459766991
moira,10.72622645
monash,37.33967753
moonee valley,21.81675766
moorabool,9.714537515
moreland,21.51471738
mornington peninsula,25.49376102
mount alexander,7.137576626
moyne,6.408214364
murrindindi,7.064583153
nillumbik,16.59554845
northern grampians,5.658890793
port phillip,11.50841096
pyrenees,4.453478641
south gippsland,10.91863652
southern grampians,8.297318941
stonnington,16.84553513
strathbogie,3.953478641
surf coast,6.473529268
swan hill,6.665746361
towong,5.226232576
wangaratta,11.18631956
warrnambool,7.432488819
wellington,16.69969606
west wimmera,2.922608455
whitehorse,34.86516401
whittlesea,24.07063454
wodonga,6.055255116
wyndham,22.95874921
yarra,16.58877904
yarra ranges,40.83073789
yarriambiack,5.744280367
queenscliffe,1.5
unincorporated vic,1
