ranking,School,Location,median VCE Score,VCE 40+ %
,,,,
1,Victorian College for the Deaf,Melbourne,42,60
,,,,
2,Ballarat Clarendon College,Ballarat,39,45
,,,,
3,Bialik College,Hawthorn East,39,44.3
,,,,
4,Mount Scopus Memorial College,Burwood,38,37.4
,,,,
5,Mallacoota P-12 College,Mallacoota,38,30
,,,,
6,Huntingtower School,Mount Waverley,37,33.2
,,,,
7,Macrobertson Girls High School,Melbourne,37,30.2
,,,,
8,Korowa Anglican Girls School,Glen Iris,37,29.7
,,,,
9,Ruyton Girls School,Kew,36,32.2
,,,,
10,Haileybury Girls College,Keysborough,36,30.6
,,,,
11,Beth Rivkah Ladies College,St Kilda East,36,30.5
,,,,
12,Camberwell Girls Grammar School,Canterbury,36,29.8
,,,,
13,Melbourne High School,South Yarra,36,29.4
,,,,
14,Haileybury College,Keysborough,36,29.2
,,,,
15,Strathcona Baptist Girls Grammar School,Canterbury,36,27.9
,,,,
16,St Kevins College,Toorak,36,27.5
,,,,
17,Loreto Mandeville Hall,Toorak,36,26.7
,,,,
18,Trinity Grammar School,Kew,36,26.1
,,,,
19,Shelford Girls Grammar,Caulfield,36,25
,,,,
20,Firbank Grammar School,Brighton,36,24.1
,,,,
21,Kilvington Grammar School,Ormond,36,23.8
,,,,
22,The King David School,Armadale,36,21
,,,,
23,Yeshivah College,St Kilda East,35,28.1
,,,,
24,Scotch College,Hawthorn,35,27.2
,,,,
25,Leibler Yavneh College,Elsternwick,35,26
,,,,
26,Camberwell Grammar School,Canterbury,35,25.9
,,,,
27,Methodist Ladies College,Kew,35,25
,,,,
28,Melbourne Grammar School,Melbourne,35,23.7
,,,,
29,Genazzano F.C.J. College,Kew,35,23.3
,,,,
30,Sacre Coeur,Glen Iris,35,23
,,,,
31,Caulfield Grammar School Caulfield,St Kilda East,35,22.6
,,,,
32,Penleigh and Essendon Grammar School,Keilor East,35,22.5
,,,,
33,Mentone Girls Grammar School,Mentone,35,22.3
,,,,
34,Mentone Grammar School,Mentone,35,22
,,,,
35,Nossal High School,Berwick,35,21.9
,,,,
36,Lauriston Girls School,Armadale,35,21.1
,,,,
37,St Catherines School,Toorak,35,20.2
,,,,
38,Presbyterian Ladies College,Burwood,35,20.1
,,,,
39,Caulfield Grammar School Wheelers Hill,Wheelers Hill,35,19.8
,,,,
40,Star of the Sea College,Gardenvale,35,16.9
,,,,
41,Goroke P-12 College,Goroke,34,25
,,,,
42,Yesodei Hatorah College,Brighton,34,25
,,,,
43,Melbourne Girls Grammar,South Yarra,34,24.6
,,,,
44,Toorak College,Mount Eliza,34,21.8
,,,,
45,Eltham College of Education,Research,34,20
,,,,
46,Lowther Hall Anglican Grammar School,Essendon,34,18.8
,,,,
47,Yarra Valley Grammar School,Ringwood,34,18.8
,,,,
48,Ivanhoe Girls Grammar School,Ivanhoe,34,18.7
,,,,
49,Balwyn High School,Balwyn North,34,18.6
,,,,
50,Fintona Girls School,Balwyn,34,18.2
,,,,
51,East Loddon P-12 College,Dingee,34,17.8
,,,,
52,St Margarets School,Berwick,34,16.7
,,,,
53,Ivanhoe Grammar School,Ivanhoe,34,16.4
,,,,
54,Peninsula Grammar,Mount Eliza,34,16.4
,,,,
55,John Monash Science School,Clayton,34,16.3
,,,,
56,Xavier College,Kew,34,16.2
,,,,
57,Westbourne Grammar School,Truganina,34,15.8
,,,,
58,Suzanne Cory High School,Werribee,34,14.6
,,,,
59,Brighton Grammar School,Brighton,33,18
,,,,
60,Goulburn Valley Grammar School,Shepparton,33,17.5
,,,,
61,Victorian College of the Arts Secondary School,Southbank,33,16.6
,,,,
62,Melbourne Girls College,Richmond,33,16.4
,,,,
63,The Geelong College,Newtown,33,16.3
,,,,
64,McKinnon Secondary College,McKinnon,33,16.1
,,,,
65,Waverley Christian College,Wantirna South,33,15.6
,,,,
66,Wesley College St Kilda Rd,Melbourne,33,15.1
,,,,
67,Box Hill High School,Box Hill,33,14.7
,,,,
68,Ivanhoe Grammar School Plenty,Mernda,33,14.5
,,,,
69,St Leonards College,Brighton East,33,14.4
,,,,
70,Our Lady of Sion College,Box Hill,33,14.2
,,,,
71,Glen Waverley Secondary College,Glen Waverley,33,13.9
,,,,
72,Siena College,Camberwell,33,13.7
,,,,
73,Carey Baptist Grammar School,Kew,33,12.9
,,,,
74,Donvale Christian College,Donvale,33,12.3
,,,,
75,Woodleigh School,Langwarrin South,33,12.3
,,,,
76,Our Lady of Mercy College,Heidelberg,33,11.1
,,,,
77,Ave Maria College,Aberfeldie,33,9.5
,,,,
78,Koonung Secondary College,Mont Albert North,33,9.4
,,,,
79,Nunawading Christian College,Nunawading,33,7.5
,,,,
80,University High School,Parkville,32,14.3
,,,,
81,Alphington Grammar School,Alphington,32,14
,,,,
82,Ballarat Grammar School,Wendouree,32,13.9
,,,,
83,St Michaels Grammar School,St Kilda,32,13.7
,,,,
84,St Pauls Anglican Grammar School,Warragul,32,13.6
,,,,
85,Kardinia International College,Bell Post Hill,32,13
,,,,
86,Kingswood College,Box Hill,32,12.6
,,,,
87,Canterbury Girls Secondary College,Canterbury,32,12.4
,,,,
88,Kew High School,Kew East,32,12.3
,,,,
89,Sacred Heart Girls College,Hughesdale,32,12.2
,,,,
90,Frankston High School,Frankston,32,11.8
,,,,
91,Gippsland Grammar,Sale,32,11.8
,,,,
