Median House Prices 3rd Quarter 2020,Column7
SUBURB,No of Sales 
,YTD
ABBOTSFORD,33
ABERFELDIE,25
AINTREE,52
AIREYS INLET,19
AIRPORT WEST,69
ALBANVALE,34
ALBERT PARK,57
ALBION,12
ALEXANDRA,42
ALFREDTON,162
ALPHINGTON,19
ALTONA,77
ALTONA EAST,19
ALTONA MEADOWS,51
ALTONA NORTH,79
ANGLESEA,66
APOLLO BAY,23
ARARAT,127
ARDEER,14
ARMADALE,45
ARMSTRONG CREEK,156
ASCOT (GREATER BENDIGO),27
ASCOT VALE,94
ASHBURTON,48
ASHWOOD,28
ASPENDALE,56
ASPENDALE GARDENS,20
ATTWOOD,15
AVENEL,9
AVOCA,15
AVONDALE HEIGHTS,66
BACCHUS MARSH,98
BADGER CREEK,10
BAIRNSDALE,151
BALACLAVA,22
BALCOMBE,73
BALLAN,32
BALLARAT CENTRAL,83
BALLARAT EAST,89
BALLARAT NORTH,53
BALNARRING,16
BALNARRING BEACH,10
BALWYN,68
BALWYN NORTH,149
BANDIANA,8
BANNOCKBURN,68
BARANDUDA,17
BARWON HEADS,55
BAXTER,20
BAYSWATER,62
BAYSWATER NORTH,51
BEACONSFIELD,65
BEAUFORT,17
BEAUMARIS,78
BEECHWORTH,42
BELGRAVE,37
BELGRAVE HEIGHTS,11
BELL PARK,60
BELL POST HILL,60
BELLFIELD (BANYULE),13
BELMONT,180
BENALLA,134
BENDIGO,87
BENTLEIGH,72
BENTLEIGH EAST,174
BERWICK,360
BEVERIDGE,30
BIRCHIP,15
BIRREGURRA,12
BITTERN,24
BLACK HILL,23
BLACK ROCK,29
BLACKBURN,84
BLACKBURN NORTH,46
BLACKBURN SOUTH,51
BLACKWOOD,11
BLAIRGOWRIE,95
BLIND BIGHT,15
BONBEACH,44
BONSHAW,8
BOOLARRA,2
BORONIA,154
BOTANIC RIDGE,81
BOX HILL,28
BOX HILL NORTH,54
BOX HILL SOUTH,42
BRAYBROOK,79
BREAKWATER,5
BRIAGOLONG,9
BRIAR HILL,9
BRIGHT,32
BRIGHTON,120
BRIGHTON EAST,94
BROADFORD,52
BROADMEADOWS,48
BROOKFIELD,100
BROOKLYN,11
BROWN HILL,36
BRUNSWICK,95
BRUNSWICK EAST,40
BRUNSWICK WEST,55
BRUTHEN,4
BULLEEN,55
BUNDOORA,143
BUNINYONG,26
BUNYIP,23
BURNSIDE,30
BURNSIDE HEIGHTS,43
BURWOOD,45
BURWOOD EAST,68
CAIRNLEA,41
CALIFORNIA GULLY,63
CAMBERWELL,95
CAMPBELLFIELD,20
CAMPBELLS CREEK,19
CAMPERDOWN,54
CANADIAN,59
CANTERBURY,48
CAPE PATERSON,22
CAPE SCHANCK,10
CAPEL SOUND,54
CARISBROOK,8
CARLTON,17
CARLTON NORTH,30
CARNEGIE,36
CAROLINE SPRINGS,152
CARRUM,22
CARRUM DOWNS,197
CASTERTON,32
CASTLEMAINE,79
CAULFIELD,13
CAULFIELD EAST,8
CAULFIELD NORTH,57
CAULFIELD SOUTH,53
CHADSTONE,27
CHARLEMONT,27
CHARLTON,19
CHELSEA,43
