Median House  Price - 2019,Column11,Column12,Column15,Column14,Column13
,2019,2020,Growth PA,change,change
locality,Median,Median,,2009-2019,2018-2019
ABBOTSFORD,1030000,1150000,4.7,58,-14
ABERFELDIE,1390000,1592500,5.9,77,-7
AINTREE,610000,675000,NA,NA,5
AIREYS INLET,985000,1005000,6.7,91,13
AIRPORT WEST,790000,900000,5.6,73,-7
ALBANVALE,512000,563000,6.2,83,-6
ALBERT PARK,1965000,1110000,6.5,87,-5
ALBION,675000,765000,6.8,93,-11
ALEXANDRA,325500,385000,4,48,-3
ALFREDTON,480000,500000,4.8,60,9
ALLANSFORD,300000,313000,2.2,24,22
ALPHINGTON,1570000,1410000,6.5,88,-8
ALTONA,882500,888500,5.9,77,-5
ALTONA EAST,842500,852500,6.9,95,-6
ALTONA MEADOWS,617500,650000,5.8,76,-2
ALTONA NORTH,788500,845000,6.5,88,-6
ANGLESEA,905000,1015000,5.9,77,5
APOLLO BAY,597500,680000,3.3,39,9
ARARAT,216500,228000,3.1,36,9
ARDEER,571500,590000,6.3,84,-9
ARMADALE,2462500,2325000,4.4,53,5
ARMSTRONG CREEK,540000,530500,NA,NA,1
ASCOT (GREATER BENDIGO),415500,454000,4.1,49,9
ASCOT VALE,1088500,1102000,5.7,74,-9
ASHBURTON,1651000,1480000,7.6,109,-4
ASHWOOD,1100000,1099000,5.6,72,-9
ASPENDALE,994000,1167500,6.1,82,1
ASPENDALE GARDENS,844000,898500,5.4,69,-10
ATTWOOD,767500,672500,4.7,58,2
AVENEL,370000,445000,5.7,74,6
AVOCA,219500,320000,5.1,65,0
AVONDALE HEIGHTS,810000,841000,5.8,76,-2
AVONSLEIGH,532500,NA,5.6,72,-1
BACCHUS MARSH,500000,490000,6,79,4
BADGER CREEK,498000,518500,6.5,87,0
BAIRNSDALE,274000,290000,2.3,26,-1
BALACLAVA,1310000,1430000,5.7,75,10
BALCOMBE,1109000,1007500,7.5,106,-11
BALLAN,450000,505000,6.1,80,-3
BALLARAT CENTRAL,520000,590000,7.6,107,17
BALLARAT EAST,360000,375500,5.8,76,6
BALLARAT NORTH,413500,425000,6,80,6
BALNARRING,825000,985000,7.8,112,1
BALNARRING BEACH,1275000,1175000,6,80,14
BALWYN,2392500,2321500,6.5,87,-1
BALWYN NORTH,1700000,1910000,5.7,73,-6
BANNOCKBURN,529000,580000,5.7,73,9
BARANDUDA,395000,449000,2.4,27,-2
BARNAWARTHA,316000,432500,5.1,65,13
BARWON HEADS,1007500,1130000,7.2,100,4
BAXTER,530000,541500,6.5,88,-2
BAYSWATER,715000,750500,6.8,92,-5
BAYSWATER NORTH,695000,759500,6.5,87,-3
BEACONSFIELD,690000,762500,5.2,65,-5
BEACONSFIELD UPPER,787500,815000,7.7,109,-13
BEAUFORT,242500,329000,3.8,45,8
BEAUMARIS,1582500,1610000,5.6,72,-5
BEEAC,195000,NA,2.8,32,2
BEECHWORTH,472000,480000,6.1,82,18
BELGRAVE,636000,664000,5.6,72,-6
BELGRAVE HEIGHTS,685000,702500,6.5,88,-2
BELGRAVE SOUTH,665500,NA,6.9,96,-15
BELL PARK,482000,510000,6.5,87,7
BELL POST HILL,475000,567500,5.7,74,-2
BELLBRIDGE,368500,524500,2.4,27,-7
BELLFIELD (BANYULE),770000,735000,5.3,68,-12
BELMONT,545000,570000,6.6,89,0
BENALLA,290000,260000,3.3,38,2
BENDIGO,420000,432500,6,79,5
BENTLEIGH,1382500,1432500,6.4,86,-1
BENTLEIGH EAST,1200000,1261000,6.5,88,0
BERWICK,673500,701500,5.8,76,-3
BEULAH,77000,81000,-0.4,-4,-36
BEVERIDGE,610000,610000,NA,0,10
BIRCHIP,107500,115000,5.6,73,7
