lga,2019,2020,change 2018-2019,change 2009-2019,Growth PA,no. of sales 2020
abbotsford,1030000,1150000,4.7,58,-14,33
aberfeldie,1390000,1592500,5.9,77,-7,25
aintree,610000,675000,5.313392857142856,69.38959390862944,5,52
aireys inlet,985000,1005000,6.7,91,13,19
airport west,790000,900000,5.6,73,-7,69
albanvale,512000,563000,6.2,83,-6,34
albert park,1965000,1110000,6.5,87,-5,57
albion,675000,765000,6.8,93,-11,12
alexandra,325500,385000,4,48,-3,42
alfredton,480000,500000,4.8,60,9,162
allansford,300000,313000,2.2,24,22,0
alphington,1570000,1410000,6.5,88,-8,19
altona,882500,888500,5.9,77,-5,77
altona east,842500,852500,6.9,95,-6,19
altona meadows,617500,650000,5.8,76,-2,51
altona north,788500,845000,6.5,88,-6,79
anglesea,905000,1015000,5.9,77,5,66
apollo bay,597500,680000,3.3,39,9,23
ararat,216500,228000,3.1,36,9,127
ardeer,571500,590000,6.3,84,-9,14
armadale,2462500,2325000,4.4,53,5,45
armstrong creek,540000,530500,5.313392857142856,69.38959390862944,1,156
ascot (greater bendigo),415500,454000,4.1,49,9,27
ascot vale,1088500,1102000,5.7,74,-9,94
ashburton,1651000,1480000,7.6,109,-4,48
ashwood,1100000,1099000,5.6,72,-9,28
aspendale,994000,1167500,6.1,82,1,56
aspendale gardens,844000,898500,5.4,69,-10,20
attwood,767500,672500,4.7,58,2,15
avenel,370000,445000,5.7,74,6,9
avoca,219500,320000,5.1,65,0,15
avondale heights,810000,841000,5.8,76,-2,66
avonsleigh,532500,724976.1290322581,5.6,72,-1,0
bacchus marsh,500000,490000,6,79,4,98
badger creek,498000,518500,6.5,87,0,10
bairnsdale,274000,290000,2.3,26,-1,151
balaclava,1310000,1430000,5.7,75,10,22
balcombe,1109000,1007500,7.5,106,-11,73
ballan,450000,505000,6.1,80,-3,32
ballarat central,520000,590000,7.6,107,17,83
ballarat east,360000,375500,5.8,76,6,89
ballarat north,413500,425000,6,80,6,53
balnarring,825000,985000,7.8,112,1,16
balnarring beach,1275000,1175000,6,80,14,10
balwyn,2392500,2321500,6.5,87,-1,68
balwyn north,1700000,1910000,5.7,73,-6,149
